rank,name,position,overall,potential,age,club,league,nation
1,Lionel Andres Messi Cuccittini,RW,94,94,32,FC Barcelona,La Liga,Argentina
2,Cristiano Ronaldo dos Santos Aveiro,ST,93,93,34,Juventus,Serie A,Portugal
3,Neymar,LW,92,92,27,Paris Saint-Germain,Ligue 1,Brazil
4,Eden Hazard,LW,91,91,28,Real Madrid CF,La Liga,Belgium
5,Kevin De Bruyne,CAM,91,91,28,Manchester City,Premier League,Belgium
6,Jan Oblak,GK,91,93,26,Atlético de Madrid,La Liga,Slovenia
7,Luka Modric,CM,90,90,33,Real Madrid CF,La Liga,Croatia
8,Marc-Andre ter Stegen,GK,90,93,27,FC Barcelona,La Liga,Germany
9,Virgil van Dijk,CB,90,91,27,Liverpool,Premier League,Netherlands
10,Mohamed Salah Ghaly,RW,90,90,27,Liverpool,Premier League,Egypt
11,Giorgio Chiellini,CB,89,89,34,Juventus,Serie A,Italy
12,Sergio Aguero,ST,89,89,31,Manchester City,Premier League,Argentina
13,Sergio Ramos,CB,89,89,33,Real Madrid CF,La Liga,Spain
14,Luis Suarez,ST,89,89,32,FC Barcelona,La Liga,Uruguay
15,Robert Lewandowski,ST,89,89,30,FC Bayern München,Bundesliga,Poland
16,Sergio Busquets i Burgos,CDM,89,89,30,FC Barcelona,La Liga,Spain
17,David De Gea Quintana,GK,89,90,28,Manchester United,Premier League,Spain
18,Antoine Griezmann,CF,89,89,28,FC Barcelona,La Liga,France
19,Kalidou Koulibaly,CB,89,91,28,Napoli,Serie A,Senegal
20,Harry Kane,ST,89,91,25,Tottenham Hotspur,Premier League,England
21,Alisson,GK,89,91,26,Liverpool,Premier League,Brazil
22,N'Golo Kante,CDM,89,90,28,Chelsea,Premier League,France
23,Kylian Mbappe,ST,89,95,20,Paris Saint-Germain,Ligue 1,France
24,Gerard Pique,CB,88,88,32,FC Barcelona,La Liga,Spain
25,Samir Handanovič,GK,88,88,34,Inter,Serie A,Slovenia
26,Manuel Peter Neuer,GK,88,88,33,FC Bayern München,Bundesliga,Germany
27,Hugo Lloris,GK,88,88,32,Tottenham Hotspur,Premier League,France
28,David Silva,CAM,88,88,33,Manchester City,Premier League,Spain
29,Edinson Cavani,ST,88,88,32,Paris Saint-Germain,Ligue 1,Uruguay
30,Diego Godin,CB,88,88,33,Inter,Serie A,Uruguay
