rank,name,position,overall,potential,age,club,league,nation
1,Kylian Mbappe,ST,91,97,24,Paris SG,Ligue 1,France
2,Erling Haaland,ST,91,95,23,Manchester City,Premier League,Norway
3,Kevin De Bruyne,CM,91,93,32,Manchester City,Premier League,Belgium
4,Lionel Messi,CF,90,90,36,Inter Miami CF,MLS,Argentina
5,Karim Benzema,CF,90,90,35,Al Ittihad,Pro League,France
6,Thibaut Courtois,GK,90,91,31,Real Madrid,La Liga,Belgium
7,Harry Kane,ST,90,90,30,FC Bayern Munchen,Bundesliga,England
8,Robert Lewandowski,ST,90,90,35,FC Barcelona,La Liga,Poland
9,Mohamed Salah,RW,89,90,31,Liverpool,Premier League,Egypt
10,Ruben Dias,CB,89,92,26,Manchester City,Premier League,Portugal
11,Vini Jr.,LW,89,96,23,Real Madrid,La Liga,Brazil
12,Rodri,CDM,89,96,27,Manchester City,Premier League,Spain
13,Neymar Jr,LW,89,91,31,Al Hilal,Pro League,Brazil
14,Marc-Andre ter Stegen,GK,89,90,31,FC Barcelona,La Liga,Germany
15,Virgil van Dijk,CB,89,90,32,Liverpool,Premier League,Holland
16,Alisson,GK,89,89,31,Liverpool,Premier League,Brazil
17,Casemiro,CDM,89,91,31,Manchester Utd,Premier League,Brazil
18,Bruno Fernandes,CAM,88,89,29,Manchester Utd,Premier League,Portugal
19,Antoine Griezmann,ST,88,88,32,Atletico Madrid,La Liga,France
20,Victor Osimhen,ST,88,90,24,Napoli FC,Serie A,Nigeria
21,Bernardo Silva,CM,88,91,29,Manchester City,Premier League,Portugal
22,Federico Valverde,CM,88,92,25,Real Madrid,La Liga,Uruguay
23,Ederson,GK,88,88,30,Manchester City,Premier League,Brazil
24,Joshua Kimmich,CDM,88,89,28,FC Bayern Munchen,Bundesliga,Germany
25,Jan Oblak,GK,88,89,30,Atletico de Madrid,La Liga,Slovenia
26,Luka Modric,CM,87,87,38,Real Madrid,La Liga,Croatia
27,Frenkie de Jong,CM,87,86,26,FC Barcelona,La Liga,Holland
28,Lautaro Martinez,ST,87,88,26,Inter,Serie A,Argentina
29,Martin odegaard,CAM,87,89,24,Arsenal,Premier League,Norway
30,Mike Maignan,GK,87,85,28,Milan,Serie A,France
31,Marquinhos,CB,87,88,29,Paris SG,Ligue 1,Brazil
32,Gregor Kobel,GK,87,87,25,Borussia Dortmund,Bundesliga,Switzerland
33,Heung Min Son,LW,87,87,31,Spurs,Premier League,Korea Republic
34,Gianluigi Donnarumma,GK,87,90,24,Paris SG,Ligue 1,Italy
35,Manuel Neuer,GK,87,84,37,FC Bayern Munchen,Bundesliga,Germany
36,Ousmane Dembele,RW,86,93,26,Paris SG,Ligue 1,France
37,Bukayo Saka,RW,86,92,22,Arsenal,Premier League,England
38,Jude Bellingham,CM,86,96,20,Real Madrid,La Liga,England
39,Rafael Leao,LW,86,93,24,Milan,Serie A,Portugal
40,Pedri,CM,86,94,20,FC Barcelona,La Liga,Spain
