rank,name,position,overall,potential,age,club,league,nation
1,Lionel Messi,RW,93,93,34,Paris Saint-Germain,Ligue 1,Argentina
2,Robert Lewandowski,ST,92,92,32,FC Bayern Munchen,Bundesliga,Poland
3,Cristiano Ronaldo,ST,91,91,36,Manchester United,Premier League,Portugal
4,Neymar,LW,91,91,29,Paris Saint-Germain,Ligue 1,Brazil
5,Kevin De Bruyne,CM,91,91,30,Manchester City,Premier League,Belgium
6,Jan Oblak,GK,91,93,28,Atletico de Madrid,La Liga,Slovenia
7,Kylian Mbappe,ST,91,95,22,Paris Saint-Germain,Ligue 1,France
8,Manuel Neuer,GK,90,90,35,FC Bayern Munchen,Bundesliga,Germany
9,Marc-Andre ter Stegen,GK,90,92,29,FC Barcelona,La Liga,Germany
10,Harry Kane,ST,90,90,27,Tottenham Hotspur,Premier League,England
11,N'Golo Kante,CDM,90,90,30,Chelsea,Premier League,France
12,Karim Benzema,CF,89,89,33,Real Madrid CF,La Liga,France
13,Thibaut Courtois,GK,89,91,29,Real Madrid CF,La Liga,Belgium
14,Son,LM,89,89,28,Tottenham Hotspur,Premier League,Korea Republic
15,Casimiro,CDM,89,89,29,Real Madrid CF,La Liga,Brazil
16,Virgil van Dijk,CB,89,89,29,Liverpool,Premier League,Netherlands
17,Sadio Mane,LW,89,89,29,Liverpool,Premier League,Senegal
18,Mohamed Salah Ghaly,RW,89,89,29,Liverpool,Premier League,Egypt
19,Ederson,GK,89,91,27,Manchester City,Premier League,Brazil
20,Joshua Kimmich,CDM,89,90,26,FC Bayern Munchen,Bundesliga,Germany
21,Alisson,GK,89,90,28,Liverpool,Premier League,Brazil
22,Gianluigi Donnarumma,GK,89,93,22,Paris Saint-Germain,Ligue 1,Italy
23,Sergio Ramos,CB,88,88,35,Paris Saint-Germain,Ligue 1,Spain
24,Luis Suarez,ST,88,88,34,Atletico de Madrid,La Liga,Uruguay
25,Toni Kroos,CM,88,88,31,Real Madrid CF,La Liga,Germany
26,Romelu Lukaku Menama,ST,88,88,28,Chelsea,Premier League,Belgium
27,Keylor Navas,GK,88,88,34,Paris Saint-Germain,Ligue 1,Costa Rica
28,Raheem Sterling,LW,88,89,26,Manchester City,Premier League,England
29,Bruno Fernandes,CAM,88,89,26,Manchester United,Premier League,Portugal
30,Erling Haaland,ST,88,93,20,Borussia Dortmund,Bundesliga,Norway
31,Sergio Aguero,ST,87,87,33,FC Barcelona,La Liga,Argentina
32,Hugo Lloris,GK,87,87,34,Tottenham Hotspur,Premier League,France
33,Luka Modric,CM,87,87,35,Real Madrid CF,La Liga,Croatia
34,Andel di Maria,RW,87,87,33,Paris Saint-Germain,Ligue 1,Argentina
35,Wojciech Szczęsny,GK,87,87,31,Juventus,Serie A,Poland
36,Thomas Muller,CAM,87,87,31,FC Bayern Munchen,Bundesliga,Germany
37,Ciro Immobile,ST,87,87,31,Lazio,Serie A,Italy
38,Paul Pogba,CM,87,87,28,Manchester United,Premier League,France
39,Marco Verratti,CM,87,87,28,Paris Saint-Germain,Ligue 1,Italy
40,Marcos Corria,CB,87,90,27,Paris Saint-Germain,Ligue 1,Brazil
