rank,name,position,overall,potential,age,club,league,nation
1,Cristiano Ronaldo dos Santos Aveiro,ST,94,94,33,Juventus,Serie A,Portugal
2,Lionel Andres Messi Cuccittini,CF,94,94,31,FC Barcelona,La Liga,Argentina
3,Neymar,LW,92,93,26,Paris Saint-Germain,Ligue 1,Brazil
4,Sergio Ramos ,CB,91,91,32,Real Madrid CF,La Liga,Spain
5,Luis Suarez,ST,91,91,31,FC Barcelona,La Liga,Uruguay
6,Luka Modric,CM,91,91,32,Real Madrid CF,La Liga,Croatia
7,Eden Hazard,LW,91,91,27,Chelsea,Premier League,Belgium
8,Kevin De Bruyne,CAM,91,92,27,Manchester City,Premier League,Belgium
9,David De Gea Quintana,GK,91,93,27,Manchester United,Premier League,Spain
10,Manuel Peter Neuer,GK,90,90,32,FC Bayern Munchen,Bundesliga,Germany
11,Diego Godin,CB,90,90,32,Atletico de Madrid,La Liga,Uruguay
12,Toni Kroos,CM,90,90,28,Real Madrid CF,La Liga,Germany
13,Robert Lewandowski,ST,90,90,29,FC Bayern Munchen,Bundesliga,Poland
14,Thibaut Courtois,GK,90,91,26,Real Madrid CF,La Liga,Belgium
15,Jan Oblak,GK,90,93,25,Atletico de Madrid,La Liga,Slovenia
16,Giorgio Chiellini,CB,89,89,33,Juventus,Serie A,Italy
17,Sergio Aguero,ST,89,89,30,Manchester City,Premier League,Argentina
18,David Silva,CAM,89,89,32,Manchester City,Premier League,Spain
19,Mats Hummels,CB,89,89,29,FC Bayern Munchen,Bundesliga,Germany
20,Edinson Cavani,ST,89,89,31,Paris Saint-Germain,Ligue 1,Uruguay
21,Marc-Andre ter Stegen,GK,89,92,26,FC Barcelona,La Liga,Germany
22,Antoine Griezmann,ST,89,90,27,Atletico de Madrid,La Liga,France
23,Isco,CAM,89,92,26,Real Madrid CF,La Liga,Spain
24,Harry Kane,ST,89,92,24,Tottenham Hotspur,Premier League,England
25,Paulo Bruno Exequiel Dybala,CAM,89,94,24,Juventus,Serie A,Argentina
26,N'Golo Kante,CDM,89,90,27,Chelsea,Premier League,France
27,Gianluigi Buffon,GK,88,88,40,Paris Saint-Germain,Ligue 1,Italy
28,Samir Handanovič,GK,88,88,33,Inter,Serie A,Slovenia
29,Thiago Emiliano da Silva,CB,88,88,33,Paris Saint-Germain,Ligue 1,Brazil
30,Gonzalo Gerardo Higuain,ST,88,88,30,AC Milan,Serie A,Argentina
31,Hugo Lloris,GK,88,88,31,Tottenham Hotspur,Premier League,France
32,Gareth Frank Bale,RW,88,88,28,Real Madrid CF,La Liga,Wales
33,Marcelo Vieira da Silva,LB,88,88,30,Real Madrid CF,La Liga,Brazil
34,Philippe Coutinho Correia,LW,88,89,26,FC Barcelona,La Liga,Brazil
35,Sergio Busquets i Burgos,CDM,88,88,29,FC Barcelona,La Liga,Spain
36,Christian Dannemann Eriksen,CAM,88,91,26,Tottenham Hotspur,Premier League,Denmark
37,Paul Pogba,CM,88,91,25,Manchester United,Premier League,France
38,Lorenzo Insigne,LW,88,88,27,Napoli,Serie A,Italy
39,James Rodriguez,CAM,88,89,26,FC Bayern Munchen,Bundesliga,Colombia
40,Carlos Henrique Venancio Casimiro,CDM,88,91,26,Real Madrid CF,La Liga,Brazil
